"SEXO","EDAD","TAMUNI","INGRESHOG","TARHOGENTREV_HH","HIJOMENOR","SITLAB","NIVELESTENTREV","GRADACDISC","GRADODESIGUALDAD","VALSALARIOS","VALPOSASC","VALOPEMP","ESCFEMINIS","ESCIDEOL","RELIGION","RECUVOTOG"
"Hombre",46,"400001-1000000 habitantes","1100-1800€",3,"Tiene hijos/as menores","Trabaja","Máster oficial","Regular","Bastante grandes","Peor","Mejor","Mejor",7,4,"Creyente de otra religión","PP"
"Mujer",68,"400001-1000000 habitantes","2701-3900€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Bastante de acuerdo","Pequeñas","Igual","Peor","Peor",5,5,"Agnóstico/a","PP"
"Hombre",79,"400001-1000000 habitantes","1801-2700€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Doctorado","Bastante de acuerdo","Casi inexistentes","Peor","Igual","Igual",5,7,"Católico/a practicante","N.C."
"Hombre",52,"400001-1000000 habitantes","3901-5000€",2,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Pequeñas","Peor","Peor","Igual",7,3,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",53,"400001-1000000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería","Muy de acuerdo","Casi inexistentes","Igual","Mejor","Mejor",0,7,"Indiferente, no creyente","PP"
"Mujer",38,"400001-1000000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Máster oficial","Bastante de acuerdo","Bastante grandes","Peor","Peor","Igual",6,5,"Católico/a practicante","N.C."
"Hombre",84,"400001-1000000 habitantes","3901-5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",5,3,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",52,"400001-1000000 habitantes","2701-3900€",0,"Ninguno","Trabaja","Licenciatura","Muy de acuerdo","Casi inexistentes","Igual","Mejor","Mejor",0,10,"Católico/a no practicante","VOX"
"Mujer",44,"400001-1000000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","FP grado superior","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",2,5,"Católico/a practicante","PP"
"Hombre",29,"400001-1000000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,3,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",36,"400001-1000000 habitantes","Más de 5000€",4,"Ninguno","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Igual","Igual","Igual",5,10,"Católico/a practicante","PP"
"Hombre",74,"400001-1000000 habitantes","1801-2700€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Igual","Igual",3,5,"Católico/a no practicante","N.C."
"Hombre",40,"400001-1000000 habitantes","Más de 5000€",2,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",9,4,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",24,"400001-1000000 habitantes","Más de 5000€",1,"Ninguno","Estudiante","Grado universitario","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",9,5,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",76,"400001-1000000 habitantes","1801-2700€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Igual","Igual",5,8,"Agnóstico/a","PP"
"Mujer",66,"400001-1000000 habitantes","2701-3900€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Poco de acuerdo","Pequeñas","Peor","Peor","Igual",5,5,"Católico/a practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",70,"400001-1000000 habitantes","Menos de 1100€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Muy de acuerdo","Casi inexistentes","Peor","Igual","Peor",5,6,"Católico/a no practicante","N.C."
"Mujer",77,"400001-1000000 habitantes","2701-3900€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Muy de acuerdo","Pequeñas","Mejor","Mejor","Mejor",0,6,"Católico/a no practicante","VOX"
"Mujer",67,"400001-1000000 habitantes","Más de 5000€",4,NA,"Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Muy de acuerdo","Bastante grandes","Peor","Peor","Peor",5,8,"Católico/a no practicante","PP"
"Hombre",71,"400001-1000000 habitantes","2701-3900€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Máster oficial","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",7,7,"Agnóstico/a","PP"
"Hombre",48,"400001-1000000 habitantes","1100-1800€",3,"Ninguno","Trabajo doméstico no remunerado","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",10,7,"Ateo/a","PP"
"Mujer",83,"400001-1000000 habitantes","1100-1800€",6,"Ninguno","Trabajo doméstico no remunerado","Educación secundaria","Poco de acuerdo","Pequeñas","Peor","Peor","Igual",8,1,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",21,"400001-1000000 habitantes","3901-5000€",1,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Bastante grandes",NA,"Mejor","Mejor",7,2,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",22,"400001-1000000 habitantes","1801-2700€",2,"Ninguno","Estudiante","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",82,"400001-1000000 habitantes","2701-3900€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Muy de acuerdo","Pequeñas","Peor","Mejor",NA,7,10,"Católico/a practicante","VOX"
"Hombre",77,"400001-1000000 habitantes","2701-3900€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,2,"Agnóstico/a","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",90,"400001-1000000 habitantes","2701-3900€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,3,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",75,"400001-1000000 habitantes","3901-5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",7,8,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",80,"400001-1000000 habitantes","1801-2700€",2,"Ninguno","Trabajo doméstico no remunerado","Bachillerato","Muy de acuerdo",NA,"Peor","Peor","Igual",5,6,"Católico/a practicante","N.C."
"Hombre",78,"400001-1000000 habitantes","1801-2700€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Bastante de acuerdo","Pequeñas","Peor","Igual","Peor",5,8,"Católico/a practicante","PP"
"Hombre",76,"400001-1000000 habitantes",NA,2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",6,NA,"Ateo/a","N.C."
"Hombre",20,"400001-1000000 habitantes","2701-3900€",1,"Ninguno","Estudiante","Bachillerato","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,3,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",49,"400001-1000000 habitantes","3901-5000€",1,"Tiene hijos/as menores","Trabaja","Máster oficial","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,6,"Católico/a practicante","PP"
"Mujer",64,"400001-1000000 habitantes","3901-5000€",3,"Ninguno","Trabaja","FP grado medio","Nada de acuerdo","Pequeñas","Peor","Igual","Peor",9,1,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",17,"400001-1000000 habitantes","2701-3900€",1,"Ninguno","Estudiante","Educación secundaria","Bastante de acuerdo","Pequeñas","Igual","Peor","Igual",7,2,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",77,"400001-1000000 habitantes","1801-2700€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",8,6,"Católico/a no practicante","PP"
"Mujer",24,"400001-1000000 habitantes","Menos de 1100€",1,"Ninguno","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",9,4,"Católico/a no practicante","N.C."
"Mujer",17,"400001-1000000 habitantes","1100-1800€",2,"Ninguno","Estudiante","Educación secundaria","Poco de acuerdo","Pequeñas","Peor","Peor","Peor",8,5,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",16,"2001-10000 habitantes","1801-2700€",0,NA,"Estudiante","Educación secundaria","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",5,5,"Ateo/a",NA
"Mujer",38,"10001-50000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,7,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",83,"50001-100000 habitantes","1801-2700€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)",NA,"Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",5,2,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",24,"50001-100000 habitantes","3901-5000€",2,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",77,"50001-100000 habitantes","Menos de 1100€",5,"Ninguno","Pensionista (no ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor",NA,"Peor",10,1,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",86,"50001-100000 habitantes","1801-2700€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,7,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",70,"10001-50000 habitantes","Más de 5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería","Bastante de acuerdo","Pequeñas","Peor","Mejor","Mejor",5,8,"Católico/a no practicante","PP"
"Mujer",18,"10001-50000 habitantes","Menos de 1100€",4,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Bastante grandes","Igual","Peor","Peor",8,8,"Católico/a no practicante","PP"
"Mujer",80,"10001-50000 habitantes","2701-3900€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Poco de acuerdo","Pequeñas","Igual","Peor","Igual",7,1,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",38,"2001-10000 habitantes","2701-3900€",2,"Ninguno","En paro, ha trabajado antes","FP grado superior","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,10,"Católico/a no practicante","VOX"
"Hombre",74,"10001-50000 habitantes","1801-2700€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",6,5,"Ateo/a","N.C."
"Hombre",48,"10001-50000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","FP grado medio","Muy de acuerdo","Bastante grandes","Igual","Peor","Mejor",5,7,"Católico/a no practicante","PP"
"Mujer",37,"2001-10000 habitantes","1801-2700€",2,"Tiene hijos/as menores","Trabaja","FP grado medio","Muy de acuerdo","Pequeñas","Igual","Igual","Igual",0,7,"Católico/a no practicante","VOX"
"Hombre",68,"100001-400000 habitantes","1801-2700€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Igual","Igual",8,8,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",43,"100001-400000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Licenciatura","Regular","Pequeñas",NA,"Igual","Igual",10,NA,"Indiferente, no creyente","En blanco"
"Hombre",51,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Trabaja","FP grado superior","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",5,7,"Católico/a no practicante","PP"
"Hombre",71,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Muy de acuerdo","Pequeñas","Peor","Igual","Igual",5,5,"Católico/a no practicante","PP"
"Hombre",48,"100001-400000 habitantes","Más de 5000€",2,"Tiene hijos/as menores","Trabaja","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",7,2,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",27,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Mejor","Igual","Igual",6,1,"Agnóstico/a","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",78,"100001-400000 habitantes","1801-2700€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",10,1,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",29,"100001-400000 habitantes","Más de 5000€",2,"Ninguno","Trabaja","Grado universitario","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",61,"100001-400000 habitantes","1100-1800€",1,"Ninguno","Trabaja","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",7,2,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",68,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",8,5,"Ateo/a","PP"
"Hombre",67,"100001-400000 habitantes","2701-3900€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato",NA,"Bastante grandes","Peor","Peor","Peor",10,4,"Indiferente, no creyente","N.C."
"Mujer",25,"100001-400000 habitantes","Menos de 1100€",8,"Tiene hijos/as menores","Trabajo doméstico no remunerado","Bachillerato","Poco de acuerdo","Pequeñas","Mejor","Igual","Igual",10,5,"Creyente de otra religión","Otro partido"
"Hombre",43,"100001-400000 habitantes","1801-2700€",4,"Tiene hijos/as menores","Trabaja","FP grado superior","Muy de acuerdo","Muy grandes","Mejor","Mejor","Mejor",5,10,"Indiferente, no creyente","PP"
"Hombre",66,"100001-400000 habitantes","1100-1800€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",6,1,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",36,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",7,2,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",52,"100001-400000 habitantes","1100-1800€",4,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Muy grandes","Igual","Peor","Peor",8,5,"Agnóstico/a","N.C."
"Hombre",45,"100001-400000 habitantes","1801-2700€",1,"Tiene hijos/as menores","Trabaja","FP grado superior","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",5,3,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",52,"100001-400000 habitantes","1100-1800€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,5,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",45,"100001-400000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",10,3,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",56,"100001-400000 habitantes","1801-2700€",NA,"Ninguno","Trabaja","Licenciatura",NA,"Bastante grandes","Peor","Igual","Peor",6,5,"Católico/a no practicante","PP"
"Hombre",52,"100001-400000 habitantes","1100-1800€",1,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",5,5,"Católico/a no practicante","PP"
"Hombre",41,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",39,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Títulos propios posgrado","Poco de acuerdo","Pequeñas","Igual","Igual","Igual",9,3,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",46,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",8,2,"Creyente de otra religión","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",59,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Muy grandes","Igual","Igual","Igual",6,8,"Católico/a no practicante","PP"
"Mujer",59,"100001-400000 habitantes","2701-3900€",0,"Ninguno","Trabaja","Máster oficial","Bastante de acuerdo","Casi inexistentes","Peor","Mejor","Mejor",4,8,"Católico/a practicante","PP"
"Mujer",79,"100001-400000 habitantes","1100-1800€",5,"Ninguno","Pensionista (no ha trabajado)","Menos de 5 años escolarización","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",72,"100001-400000 habitantes","1100-1800€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Bastante de acuerdo","Pequeñas","Peor","Peor","Mejor",9,8,"Católico/a practicante","N.C."
"Mujer",35,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Diplomaturas oficiales","Muy de acuerdo","Casi inexistentes","Mejor","Igual","Igual",0,10,"Ateo/a","VOX"
"Mujer",80,"100001-400000 habitantes","2701-3900€",0,"Ninguno","Pensionista (no ha trabajado)","Educación secundaria","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",10,2,"Católico/a practicante","ERC (Esquerra Republicana)"
"Hombre",74,"100001-400000 habitantes","Menos de 1100€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria",NA,NA,"Peor",NA,"Igual",7,NA,"Católico/a practicante","N.C."
"Mujer",75,"100001-400000 habitantes",NA,2,"Ninguno","Pensionista (no ha trabajado)","Bachillerato","Muy de acuerdo","Casi inexistentes",NA,"Peor",NA,3,5,"Católico/a practicante","N.C."
"Hombre",53,"100001-400000 habitantes","2701-3900€",1,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Bastante grandes","Peor","Peor","Peor",0,4,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",64,"2001-10000 habitantes","1100-1800€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Bastante de acuerdo","Muy grandes","Peor","Peor","Peor",7,6,"Católico/a no practicante","VOX"
"Mujer",75,"10001-50000 habitantes","1100-1800€",NA,"Ninguno","Pensionista (no ha trabajado)","Diplomaturas oficiales","Muy de acuerdo","Bastante grandes","Igual","Igual",NA,0,10,"Católico/a practicante","VOX"
"Hombre",57,"10001-50000 habitantes","2701-3900€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Igual","Igual",7,6,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",29,"10001-50000 habitantes","1801-2700€",3,"Ninguno","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,3,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",48,"10001-50000 habitantes","1801-2700€",1,"Tiene hijos/as menores","Trabaja","Educación secundaria","Poco de acuerdo","Pequeñas","Igual","Igual","Igual",5,5,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",39,"10001-50000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",7,1,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",63,"10001-50000 habitantes","2701-3900€",4,"Ninguno","Trabajo doméstico no remunerado","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",7,2,"Agnóstico/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",33,"10001-50000 habitantes","1100-1800€",1,"Ninguno","Trabaja","Diplomaturas oficiales","Nada de acuerdo","Pequeñas","Peor","Peor","Peor",8,1,"Católico/a practicante","Otro partido"
"Hombre",80,"10001-50000 habitantes","1100-1800€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado medio","Poco de acuerdo","Pequeñas","Peor","Igual","Igual",2,10,"Católico/a no practicante","PP"
"Mujer",55,"10001-50000 habitantes","3901-5000€",2,"Ninguno","Trabaja","Licenciatura","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",10,7,"Católico/a no practicante","PP"
"Mujer",80,"≤2000 habitantes","2701-3900€",5,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Nada de acuerdo","Pequeñas","Peor","Peor","Peor",10,3,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",45,"2001-10000 habitantes","1801-2700€",2,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería","Muy de acuerdo","Pequeñas","Peor","Igual","Peor",5,6,"Ateo/a","PP"
"Mujer",56,"100001-400000 habitantes","1100-1800€",4,"Ninguno","En paro, ha trabajado antes","Diplomaturas oficiales","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",6,5,"Agnóstico/a","N.C."
"Mujer",41,"100001-400000 habitantes","1801-2700€",0,"Ninguno","Trabaja","Bachillerato","Muy de acuerdo","Muy grandes","Igual","Mejor","Mejor",0,10,"Católico/a no practicante","VOX"
"Hombre",52,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Licenciatura","Nada de acuerdo","Pequeñas","Igual","Igual","Igual",7,3,"Católico/a practicante","Otro partido"
"Mujer",40,"100001-400000 habitantes","3901-5000€",1,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",30,"100001-400000 habitantes","2701-3900€",2,"Ninguno","Trabaja","Grado universitario","Poco de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,3,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",55,"100001-400000 habitantes","2701-3900€",2,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería técnica","Bastante de acuerdo","Bastante grandes","Igual","Mejor","Igual",5,6,"Católico/a no practicante","PP"
"Hombre",29,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,7,"Ateo/a","PP"
"Mujer",57,"100001-400000 habitantes","3901-5000€",1,"Ninguno","Pensionista (no ha trabajado)","Diplomaturas oficiales","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,8,"Católico/a no practicante","PP"
"Hombre",50,"100001-400000 habitantes","3901-5000€",2,"Tiene hijos/as menores","Trabaja","Máster oficial","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,5,"Católico/a no practicante","N.C."
"Mujer",36,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,3,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",63,"100001-400000 habitantes","2701-3900€",4,"Ninguno","Trabajo doméstico no remunerado","FP grado medio","Bastante de acuerdo","Bastante grandes","Peor","Peor","Igual",NA,8,"Católico/a no practicante","PP"
"Hombre",36,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Arquitectura/ingeniería","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,10,"Católico/a practicante","VOX"
"Hombre",48,"100001-400000 habitantes","3901-5000€",2,"Ninguno","Trabaja","Licenciatura","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",7,2,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",37,"100001-400000 habitantes",NA,NA,"Ninguno","Otra situación","Bachillerato","Poco de acuerdo","Pequeñas",NA,"Igual","Igual",7,NA,"Católico/a practicante",NA
"Hombre",45,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","FP grado superior","Muy de acuerdo","Casi inexistentes","Igual","Igual","Mejor",0,10,"Ateo/a","VOX"
"Mujer",41,"100001-400000 habitantes","1801-2700€",5,"Tiene hijos/as menores","En paro, ha trabajado antes","FP grado medio","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",9,1,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",29,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,3,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",52,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",23,"100001-400000 habitantes","Menos de 1100€",2,"Ninguno","Estudiante","FP grado superior","Muy de acuerdo","Muy grandes","Igual","Igual","Igual",5,NA,"Indiferente, no creyente",NA
"Mujer",64,"100001-400000 habitantes","1100-1800€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,8,"Indiferente, no creyente","PP"
"Hombre",79,"100001-400000 habitantes","3901-5000€",NA,"Ninguno","Trabaja","Arquitectura/ingeniería","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",10,5,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
